id,polarity,score
809533978113953793,Positive,0.2
809535095828783104,Positive,0.2
809535232366022657,Neutral,0.0
809535335604584448,Positive,0.441
809535727251824640,Positive,0.176
809535755139813376,Positive,0.2
809536355747434496,Neutral,0.0
809536815581433857,Neutral,0.0
809536896984580096,Negative,-0.036000000000000004
809536972431749120,Neutral,0.0
809538190809907201,Neutral,0.0
809538300788744192,Neutral,0.0
809538500253155328,Neutral,0.0
809538578388750336,Neutral,0.0
809538623871848448,Neutral,0.0
809538665697472512,Positive,0.2
809538876142473216,Neutral,0.0
809538909491249152,Neutral,0.0
809539127582621696,Neutral,0.0
809539353219362816,Neutral,0.0
809539363860189184,Neutral,0.0
809539720715915264,Neutral,0.0
809539730681581569,Neutral,0.0
809539918510759938,Neutral,0.0
809539934990127106,Neutral,0.0
809539949502435328,Neutral,0.0
809539958155292672,Neutral,0.0
809539972915003392,Neutral,0.0
809539983648296960,Neutral,0.0
809539996981989376,Neutral,0.0
809540028187611137,Neutral,0.0
809540702904393728,Neutral,0.0
809541049475534848,Neutral,0.0
809541233378869248,Positive,0.249
809541364463480832,Negative,-0.109
809541447410139136,Neutral,0.0
809541508311511040,Neutral,0.0
809541877011714048,Neutral,0.0
809541939334959105,Positive,0.09
809542020125626368,Neutral,0.0
809542716581355520,Positive,0.285
809542801419472897,Neutral,0.0
809543125815488512,Neutral,0.0
809543609309462528,Neutral,0.0
809543831037149184,Neutral,0.0
809544387520761857,Neutral,0.0
809545053756653568,Positive,0.285
809545078947676160,Neutral,0.0
809545258681909248,Neutral,0.0
809545278713982976,Neutral,0.0
809545329204985857,Positive,0.286
809545398973071360,Neutral,0.0
809545790192545792,Neutral,0.0
809545907393937408,Neutral,0.0
809545932161351681,Neutral,0.0
809545942584147968,Neutral,0.0
809546116425543680,Neutral,0.0
809546221144645632,Neutral,0.0
809546685714169856,Positive,0.388
809546781579243520,Neutral,0.0
809546795701432321,Positive,0.388
809546968544460801,Neutral,0.0
809547337391632385,Neutral,0.0
809547496364052480,Positive,0.198
809547689255800832,Neutral,0.0
809547706498568192,Positive,0.388
809547785863393280,Positive,0.167
809548001983295488,Neutral,0.0
809548192857681920,Positive,0.165
809548223316639744,Neutral,0.0
809548408629448705,Positive,0.206
809548437444300800,Neutral,0.0
809548585561944064,Neutral,0.0
809549103789199360,Neutral,0.0
809549392327962625,Neutral,0.0
809549500041822208,Positive,0.2
809549788609908736,Neutral,0.0
809549855064489986,Neutral,0.0
809549901726158848,Neutral,0.0
809549937809756161,Neutral,0.0
809550055891992577,Neutral,0.0
809550185156251649,Neutral,0.0
809550243721256960,Positive,0.126
809550540522721281,Positive,0.126
809550571191631872,Neutral,0.0
809550693291921409,Neutral,0.0
809550745221689345,Positive,0.314
809550749034303488,Neutral,0.0
809550815220342784,Neutral,0.0
809551070326296576,Neutral,0.0
809551544861396992,Neutral,0.0
809551774243766272,Positive,0.2
809551948080967680,Negative,-0.259
809552003491889155,Neutral,0.0
809552014086696960,Positive,0.242
809552252012785664,Neutral,0.0
809552308765855744,Neutral,0.0
809552533068849152,Neutral,0.0
809552898124316672,Neutral,0.0
809553112319016960,Neutral,0.0
809553197031456773,Neutral,0.0
809553224264925184,Neutral,0.0
809553338014441472,Neutral,0.0
809553388337852417,Positive,0.236
809553488204140544,Positive,0.167
809554062844764160,Neutral,0.0
809554142880473088,Neutral,0.0
809554654954659840,Neutral,0.0
809554765092978688,Positive,0.285
809555057276502017,Neutral,0.0
809555456641368064,Neutral,0.0
809555485720539137,Neutral,0.0
809556245845803008,Neutral,0.0
809556279324774400,Neutral,0.0
809556314431115264,Neutral,0.0
809556348581150720,Neutral,0.0
809556415778013184,Neutral,0.0
809556506085642240,Neutral,0.0
809556670674178048,Neutral,0.0
809557093128826880,Neutral,0.0
809557457848635392,Neutral,0.0
809557527666905088,Neutral,0.0
809557800774959104,Neutral,0.0
809558010469249024,Positive,0.382
809558035140145154,Neutral,0.0
809558067356598272,Neutral,0.0
809558238563880960,Neutral,0.0
809558270570594304,Neutral,0.0
809558584463937536,Neutral,0.0
809559099138568193,Positive,0.165
809559504044093440,Positive,0.165
809559821091536896,Neutral,0.0
809560002516094976,Neutral,0.0
809560101774327809,Neutral,0.0
809560172385497088,Neutral,0.0
809560364300070912,Neutral,0.0
809560406775709697,Neutral,0.0
809560435020152832,Neutral,0.0
809560646635417600,Neutral,0.0
809560756425523200,Negative,-0.375
